pred_score_fusion,true_label
0.00012605333,0.0
0.00021614648,0.0
0.998606,1.0
0.95076656,1.0
0.37151805,0.0
0.0008346576,0.0
0.9867524,0.0
0.0031141406,0.0
0.00050510874,0.0
1.0738696e-05,0.0
0.07054301,0.0
0.0037070587,0.0
0.17837995,0.0
0.9413804,0.0
0.2511806,0.0
0.0072661475,0.0
0.039848436,0.0
2.2841442e-07,0.0
0.73042995,0.0
9.8539436e-05,0.0
0.00010807852,0.0
0.0002674323,0.0
0.7687258,0.0
0.01520283,0.0
0.04677071,0.0
0.1961573,0.0
0.3062815,0.0
0.050674453,0.0
6.420384e-05,0.0
2.1325099e-05,0.0
0.129698,0.0
0.17909744,0.0
0.0012065317,0.0
0.034344025,0.0
1.8891556e-05,0.0
6.615666e-07,0.0
9.4416675e-05,0.0
0.000118016535,0.0
5.096492e-05,0.0
0.0010063394,0.0
0.11680311,0.0
7.8349796e-05,0.0
0.053032514,0.0
0.023387894,0.0
0.00032520882,0.0
0.00633506,0.0
0.010264576,0.0
0.00059952354,0.0
5.008239e-06,0.0
0.00033934583,0.0
1.48870495e-05,0.0
0.0021969404,0.0
2.7056983e-06,0.0
0.0039146855,0.0
6.9203566e-06,0.0
0.0034553562,0.0
0.0018418067,0.0
1.2985652e-06,0.0
0.005901708,0.0
0.011864038,0.0
0.04479093,0.0
2.5951203e-07,0.0
0.00035689128,0.0
0.00043191292,0.0
0.18152848,0.0
3.366862e-07,0.0
6.087523e-07,0.0
0.00024763614,0.0
0.015786259,0.0
0.00030865968,0.0
4.6576716e-07,0.0
0.07173964,0.0
1.883336e-06,0.0
0.0031883793,0.0
0.00025700382,0.0
0.00031504146,0.0
5.7726247e-05,0.0
0.0015549328,0.0
0.30909628,0.0
9.103972e-05,0.0
0.0013471884,0.0
0.00013269795,0.0
7.3368506e-06,0.0
0.0017799853,0.0
1.3492181e-06,0.0
4.2768843e-05,0.0
0.0026799324,0.0
0.0013588307,0.0
0.0005642841,0.0
2.3796578e-05,0.0
0.000372307,0.0
0.0017033552,0.0
0.000143383,0.0
3.83383e-06,0.0
6.088854e-07,0.0
0.04878515,0.0
8.629176e-06,0.0
0.0026631248,0.0
0.02492144,0.0
0.09831602,0.0
0.40571874,0.0
0.009007854,0.0
0.0005105104,0.0
0.0008282773,0.0
0.57821405,0.0
0.2918268,0.0
0.271993,0.0
0.016190892,0.0
0.0070085367,0.0
0.0017321131,0.0
0.04953661,0.0
0.039708927,0.0
0.10811891,0.0
0.0065851025,0.0
0.012873925,0.0
0.0048488774,0.0
0.035973556,0.0
0.051612712,0.0
0.0003331834,0.0
9.26098e-06,0.0
0.0021460415,0.0
0.00048170655,0.0
1.3877124e-05,0.0
3.8399936e-05,0.0
3.1413108e-06,0.0
0.32584128,0.0
0.0105214985,0.0
0.95980227,1.0
0.8650877,1.0
0.0042560073,1.0
0.96597713,1.0
0.99612516,1.0
0.0004426391,1.0
0.7466009,1.0
0.9934628,1.0
0.95976603,1.0
0.9333026,1.0
0.92759305,1.0
0.99985784,1.0
0.008727589,1.0
0.773399,1.0
0.65898913,1.0
0.959298,1.0
0.6086864,1.0
0.8148989,1.0
0.9835633,1.0
0.9348851,1.0
0.8227666,1.0
0.19859082,1.0
0.9925024,1.0
0.9961334,1.0
0.0013202844,1.0
0.9100337,1.0
0.999918,1.0
0.04400048,1.0
0.052357983,1.0
0.97571415,1.0
0.9592443,1.0
0.98777765,1.0
0.9321411,1.0
0.61295813,0.0
0.1061557,0.0
0.34737676,0.0
0.7566337,0.0
0.97855484,0.0
0.9811669,0.0
0.057716824,0.0
0.033562943,0.0
0.3771021,0.0
0.025982723,0.0
0.026553623,0.0
0.03784505,0.0
0.0006720019,0.0
0.66319966,0.0
0.42353916,0.0
0.21423137,0.0
0.10808559,0.0
0.008296563,0.0
0.04979657,0.0
0.0735316,0.0
0.13753882,0.0
0.006027516,0.0
0.017641144,0.0
0.0037742448,0.0
0.39827797,0.0
0.13723679,0.0
0.6718125,0.0
0.008399559,0.0
0.08459081,0.0
0.44295314,0.0
0.034812022,0.0
0.13127494,0.0
0.005621079,0.0
0.69354117,0.0
0.020932956,0.0
0.08086903,0.0
0.0060135284,0.0
0.12930426,0.0
0.89362234,1.0
0.9304396,1.0
0.92160344,1.0
0.97659445,1.0
0.9900363,1.0
0.96981627,1.0
0.99225485,1.0
0.6116679,1.0
0.99575454,1.0
0.97693974,1.0
0.9942925,1.0
0.9856146,1.0
0.8117362,1.0
0.9655708,1.0
0.91005373,1.0
0.18368056,1.0
0.6106027,1.0
0.98165685,1.0
0.9279436,1.0
0.8538486,1.0
0.9770135,1.0
0.9947625,1.0
0.9316851,1.0
0.9916289,1.0
0.5832841,1.0
0.98323137,1.0
0.40086952,1.0
0.976131,1.0
0.9862142,1.0
0.82849205,1.0
