Demographic Property,Attribute,LRRK2 Carrier,Control,Total
,"Number of Participants, n (%)",122 (40.0%),183 (60.0%),305 (100%)
Sex,Female,71 (58.2%),105 (57.4%),176 (57.7%)
,Male,51 (41.8%),78 (42.6%),129 (42.3%)
"Age in years (range: 21.0 - 87.0, mean: 55.2), n (%)",< 20,0 (0.0%),0 (0.0%),0 (0.0%)
,20 - 39,35 (28.7%),23 (12.6%),58 (19.0%)
,40 - 59,38 (31.1%),58 (31.7%),96 (31.5%)
,60 - 79,49 (40.2%),94 (51.4%),143 (46.9%)
,>= 80,0 (0.0%),1 (0.5%),1 (0.3%)
,Not Mentioned,0 (0.0%),7 (3.8%),7 (2.3%)
"Race, n (%)",White,116 (95.1%),177 (96.7%),293 (96.1%)
,Asian,0 (0.0%),3 (1.6%),3 (1.0%)
,Black or African American,0 (0.0%),1 (0.5%),1 (0.3%)
,American Indian or Alaska Native,0 (0.0%),0 (0.0%),0 (0.0%)
,Others,0 (0.0%),0 (0.0%),0 (0.0%)
,Not Mentioned,6 (4.9%),2 (1.1%),8 (2.6%)
"Recording Environment, n (%)",Home-Global,0 (0.0%),139 (76.0%),139 (45.6%)
,PD Care Facility,0 (0.0%),2 (1.1%),2 (0.7%)
,Clinic,122 (100.0%),42 (23.0%),164 (53.8%)
