Demographic Property,Attribute,PD,Control,Total
,"Number of Participants, n (%)",132 (43.6%),171 (56.4%),303 (100%)
Sex,Female,59 (44.7%),96 (56.1%),155 (51.2%)
,Male,73 (55.3%),75 (43.9%),148 (48.8%)
"Age in years (range: 22.0 - 87.0, mean: 60.6), n (%)",< 20,0 (0.0%),0 (0.0%),0 (0.0%)
,20 - 39,0 (0.0%),37 (21.6%),37 (12.2%)
,40 - 59,21 (15.9%),49 (28.7%),70 (23.1%)
,60 - 79,104 (78.8%),82 (48.0%),186 (61.4%)
,>= 80,3 (2.3%),1 (0.6%),4 (1.3%)
,Not Mentioned,4 (3.0%),2 (1.2%),6 (2.0%)
"Race, n (%)",White,128 (97.0%),161 (94.2%),289 (95.4%)
,Asian,1 (0.8%),0 (0.0%),1 (0.3%)
,Black or African American,2 (1.5%),2 (1.2%),4 (1.3%)
,American Indian or Alaska Native,1 (0.8%),0 (0.0%),1 (0.3%)
,Others,0 (0.0%),0 (0.0%),0 (0.0%)
,Not Mentioned,0 (0.0%),8 (4.7%),8 (2.6%)
"Recording Environment, n (%)",Home-Global,0 (0.0%),0 (0.0%),0 (0.0%)
,PD Care Facility,37 (28.0%),10 (5.8%),47 (15.5%)
,Clinic,95 (72.0%),161 (94.2%),256 (84.5%)
